Unit,School / Division,Category,Calendar name,Calendar URL,Platform / CMS,How content is rendered,Feed / API endpoint,Best way to fetch it programmatically,Confidence,Notes
Penn Dental - Research Day,Dental,School,Research Day,https://www.dental.upenn.edu/research/research-overview/research-day/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),Annual event
Weitzman - Center for the Preservation of Civil Rights Sites,Design,Center,Events,https://www.design.upenn.edu/cpcrs/events,Drupal 10,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Standalone site at cpcrs.upenn.edu
Weitzman - Center for Public Art and Space,Design,Center,Center site,https://www.design.upenn.edu/cpas/home,Drupal 10,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Events post to the school calendar
Penn AHEAD (Alliance for Higher Education and Democracy),GSE,Center,Center site / events,https://www.ahead-penn.org/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,External domain
Penn Center for Social Norms & Behavioral Dynamics,SAS,Center,Upcoming Events,https://normsandbehavior.sas.upenn.edu/upcoming-events,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),NoBeC Talks; past events sub-page
Penn Center for Tobacco Research,Medicine,Center,Events Calendar (LiveWhale group),https://events.med.upenn.edu/tobacco/,LiveWhale Calendar,JS-rendered,LiveWhale ics/RSS,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),Penn Tobacco Center of Regulatory Science seminars
Center for Targeted Therapeutics & Translational Nanomedicine (CT3N),Medicine,Center,Center site / seminar series,https://www.itmat.upenn.edu/ct3n/,Static HTML (PSOM template),Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),Seminar schedule linked from ITMAT
Penn Center for Molecular Discovery,Engineering,Center,Center site,https://www.seas.upenn.edu/~pcmd/,Static HTML,Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),Legacy site; no dedicated calendar
Center for Precision Engineering for Health (CPE4H),Engineering,Center,Events,https://cpe4h.seas.upenn.edu/events/,WordPress + The Events Calendar,Server-rendered HTML,?ical=1 ; TEC REST API,"WordPress ""The Events Calendar"": use /wp-json/tribe/events/v1/events (JSON, paginated) — cleanest option. ?ical=1 on any view gives .ics.",Verified (page fetched),Annual CPE4H Symposium
Penn QUIEST (Quantum Information Engineering Science & Technology),Engineering,Center,Events / news,https://quiest.seas.upenn.edu/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,Penn Forum on Quantum Systems (FoQuS)
Penn IDEAS Center,Engineering,Center,Events,https://ideas.seas.upenn.edu/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,
Penn MEAM - Centers + Institutes,Engineering,Department,Centers + Institutes,https://www.me.upenn.edu/centers-institutes/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),Index page
Penn MSE - Centers + Institutes,Engineering,Department,Centers + Institutes,https://mse.seas.upenn.edu/centers-institutes/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),Index page
Penn CBE - Centers + Institutes,Engineering,Department,Centers + Institutes,https://cbe.seas.upenn.edu/centers-institutes/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),Index page
Penn Center for Learning Analytics,GSE,Center,Center site,https://learninganalytics.upenn.edu/,Static HTML,Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
Penn Vet - Center for Stewardship Agriculture & Food Security,Vet,Center,Center site,https://www.vet.upenn.edu/research/research-centers-and-institute/center-for-stewardship-agriculture-and-food-security/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),Events post to the Penn Vet school calendar
Weitzman - Architectural Conservation Laboratory,Design,Lab,Lab site,https://acl.design.upenn.edu/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,Center for Architectural Conservation
Weitzman - PhD Architecture events archive,Design,Program,Events archive,https://www.design.upenn.edu/architecture/phd/archive/events,Drupal 10,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
Joint Penn-CHOP Center for Digestive Liver & Pancreatic Medicine,Medicine,Center,Events,https://www.med.upenn.edu/jointcenterfordighealth/Events.shtml,Static HTML (legacy PSOM),Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),
Center for Neurobiology and Behavior (CNB),Medicine,Center,Center site,https://www.med.upenn.edu/cnb/,Static HTML (PSOM template),Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
ViDi Center,Engineering,Center,Center page,https://cg.cis.upenn.edu/vidi.html,Static HTML,Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
PSOM - Neuroscience related seminars index,Medicine,Department,Neuroscience Related Seminar Series at Penn,https://www.med.upenn.edu/neuroscience/neuroscience-related-seminars.html,Static HTML (PSOM template),Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),Useful index of neuroscience seminar series across Penn
Penn Center for Innovation (PCI),University,Center,Events,https://pci.upenn.edu/events/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,Tech transfer and innovation events
Penn GSE - RIPPLE Lab,GSE,Lab,Lab page,https://www.gse.upenn.edu/our-expertise/ripple-lab,Drupal 10,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),Events post to the GSE school calendar
Penn Child Research Center,GSE,Center,Center site,https://child.gse.upenn.edu/,Drupal,Server-rendered HTML,unknown,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Pattern-inferred — confirm URL before scraping,Early childhood and family research
SAS - Center for the Study of Ethnicity Race & Immigration (CSERI),SAS,Center,Events,https://cseri.sas.upenn.edu/events,Drupal,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),
Ortner Center on Violence & Abuse,SP2,Center,Events,http://ortnercenter.org/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,External domain
Field Center for Children's Policy Practice & Research,SP2,Center,Events,https://fieldcenteratpenn.org/,WordPress,Server-rendered HTML,unknown,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Pattern-inferred — confirm URL before scraping,External domain
Center for Guaranteed Income Research (CGIR),SP2,Center,Center site,https://www.penncgir.org/,Squarespace,Server-rendered HTML; append ?format=json for structured data,none,Squarespace: server-rendered; append ?format=json to most URLs for structured data.,Verified (page fetched),External domain; no dedicated calendar
Computational Biology and Informatics Lab (CBIL),Medicine,Lab,Lab site,http://www.cbil.upenn.edu/,Static HTML,Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),No dedicated calendar
Law - Penn Program on Documentaries & the Law,Law,Program,Courses & Seminars / roundtables,https://www.law.upenn.edu/institutes/documentaries/,Static PHP + LiveWhale,Server-rendered HTML,LiveWhale ics/RSS on tag views,"LiveWhale: the HTML is injected by JS, so scraping the page fails. Use the group feed instead — append ?format=json or ?format=ics to the group URL, or build one from the calendar's Subscribe button.",Verified (page fetched),Visual Legal Advocacy Roundtables
Wharton - Finance research centers index,Wharton,Department,Research Centers,https://fnce.wharton.upenn.edu/research-centers/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),"Snider, SEI, FIC, Rodney White"
Wharton - Finance Centers (pillar),Wharton,Pillar,Wharton's Financial Research Centers,https://finance-pillar.wharton.upenn.edu/centers/,WordPress,Server-rendered HTML,none,WordPress: server-rendered HTML — requests + BeautifulSoup. Try /wp-json/wp/v2/ first; some sites expose events as a custom post type.,Verified (page fetched),
Housing Initiative at Penn (HIP),Design,Initiative,Project page,https://www.design.upenn.edu/work/housing-initiative-penn-hip,Drupal 10,Server-rendered HTML,none,Drupal: server-rendered HTML — requests + BeautifulSoup. Check for /ics (Drupal 7 SAS sites often expose one) and ?page= pagination.,Verified (page fetched),No dedicated calendar
Graduate Group in Genomics & Computational Biology (GCB),Medicine,Graduate group,Program site / seminars,https://www.med.upenn.edu/gcb/,Static HTML (PSOM template),Server-rendered HTML,none,"Static server-rendered HTML — requests + BeautifulSoup. Layout is hand-maintained, so selectors may drift.",Verified (page fetched),Events also on events.med.upenn.edu
